Sr No,Project Name,Promoter Name,Address,Project Type,Email,Phone,Approval ID,City,Start Date,End Date,Remarks
1,Sudama Homes 2,Laxmi Corporation,"Near Kotarpur Water Works, Behind Nandigram Society, Nana Choiloda, Ahmedabad - 382330 Ahmedabad 382330",Residential/Group Housing,maulik9072@gmail.com,9426170173,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00444/EX1/150219,Ahmedabad,14-10-2017,31-01-2019,31-12-2019
2,RAJVI STATUS,VRAJ DEVELOPERS,"SURVEY NO. 15/3, TP NO. 111, OPP. SHRIDHAR FLORA SARDAR PATEL RING ROAD, NIKOL Ahmedabad 382350",Mixed Development,shilpshaily27@gmail.com,9687525252,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00720/151117,Ahmedabad,15-11-2017,31-12-2018,NA
3,Nirman Life Style,Aum Construction,"Nirman Life Style, Nr. IOC Depot, Chenpur-Jagatpur Road, Chenpur, Ahmedabad 382470",Mixed Development,pjshah07@gmail.com,9979855701,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01595/090218,Ahmedabad,09-02-2018,31-12-2018,NA
4,KALHAAR BLUES & GREENS (KBG),NAVRATNA ORGANISERS & DEVELOPERS PRIVATE LIMITED,"2nd FLOOR, KAYCREST, OPP. GUJARAT GAS CO. LTD C. G. ROAD, AHMEDABAD Ahmedabad 380006",Plotted Development,akhil.solanki@navratna.com,9377115900,PR/GJ/AHMEDABAD/SANAND/AUDA/PAA00361/061017,Ahmedabad,06-10-2017,27-03-2026,NA
5,KP VILLAS,GALAXY DEVELOPERS,"1004-1005,SHAPATH V, OPP.KARNAVATI CLUB,S.G.HIGHWAY, VEJALPUR Ahmedabad 380051",Residential/Group Housing,sales@kpinfra.com,9979857381,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA01712/EX1/060519,Ahmedabad,21-02-2018,31-03-2019,31-03-2020
6,ASTHA HOMES(mahemdabad),B N Projects Private Limited,"32, Nirant Park House Opp Sun & Step Club, Thaltej, Ahmedabad Ahmedabad 380059",Residential/Group Housing,bnprojects007@gmail.com,9727752880,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01936/080318,Ahmedabad,08-03-2018,31-03-2018,NA
7,NILKANTH GREENS,NILKANTH INFRASTRUCTURE,"NILKANTH GREEN, NR.RELIANCE PETROL PUMP, SARDAR PATEL RING ROAD, VASTRAL. Ahmedabad 382418",Residential/Group Housing,nilkanth.infra@gmail.com,9825276935,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01673/170218,Ahmedabad,17-02-2018,30-06-2018,NA
8,Pushpak City,Shivam Land Developers,"Pushpak City, Nr. Nayanramya Club, Mahemdabad Road, Hathijan, Ahmedabad-382445 Ahmedabad 382445",Residential/Group Housing,ghanshyam71281@gmail.com,9925236186,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01869/EX1/140219,Ahmedabad,05-03-2018,31-12-2018,31-12-2019
9,TEJENDRA ARCADE,SHYAM REALTIES,"6, SHIVANAND SOC. OPP. VIJAY NAGAR SCHOOL, VIJAYNAGAR Ahmedabad 380013",Commercial,tejendraarcade@gmail.com,7016150640,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02267/050418,Ahmedabad,05-04-2018,30-06-2021,NA
10,KP COURTYARD,POOJA DEVELOPERS,"1004-1005, Shapath V, Opp. Karnavati Club S.G.Highway, Vejalpur Ahmedabad 382210",Residential/Group Housing,accounts@kpinfra.com,9979857381,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA01713/EX1/100419,Ahmedabad,21-02-2018,31-03-2019,31-03-2020
11,Classic Heights,CLASSIC BUILD PROJECTS PRIVATE LIMITED,"Classic platinum,vishala circle,next to apmc market vasna sarkhej road Ahmedabad 380055",Mixed Development,classicbuild25@gmail.com,9825097453,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03166/170718,Ahmedabad,17-07-2018,30-06-2026,NA
12,SWAMINARAYAN PARK 1 NAROL,DHARMADEV INFRASTRUCTURE LIMITED,"DHARMADEV HOUSE SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Mixed Development,sp2narolrera@gmail.com,9099907478,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02425/200418,Ahmedabad,20-04-2018,30-06-2023,NA
13,SHREE RAM RESIDENCY,SHRI NIRANJAN CORPORATION,OPP.NILKANTH MAHADEV NR.SHARDAR CHOWK.KRISHNANAGAR Ahmedabad 382346,Mixed Development,shreeramresidency3239@gmail.com,7600093239,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01483/010218,Ahmedabad,01-02-2018,30-04-2019,NA
