Sr No,Project Name,Promoter Name,Address,Project Type,Email,Phone,Approval ID,City,Start Date,End Date,Remarks
9981,Sarthak Appartment,seva enterprise,"D-904 , Srushti Appartment, Opp. Wockhart Hospital, Kalawad Road, Rajkot 360005",Residential/Group Housing,rera.sarthakappartment@gmail.com,9879878094,PR/GJ/RAJKOT/RAJKOT/Others/RAA10296/080622,Rajkot,08-06-2022,31-12-2028,NA
9982,AAMRAKUNJ ARASTU,AAMRAKUNJ & SONS,"402, 4TH FLOOR, AAMRAKUNJ AVIS NR. TAPOVAN CIRCLE, SABARMATI Ahmedabad 382424",Mixed Development,aamrakunjandsons@gmail.com,9898010956,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA09682/070122,Gandhinagar,07-01-2022,31-12-2024,NA
9983,DARSHANAM OCEAN,OCEAN SMART SPACE,"16, Grass Field Bunglows Off Gotri Sevasi Road, Alkapuri Vadodara 390021",Residential/Group Housing,oceansmartspace@gmail.com,9725013979,PR/GJ/VADODARA/VADODARA/Others/RAA09909/190322,Vadodara,19-03-2022,31-12-2027,NA
9984,Bombay Silver Height 2,VIVEK VINODBHAI UNADKAT,"Flat no 302, Panch Kutir Apartment, Jalaram Street No 2, Varad Medical street, University Road, Rajkot - 360005 Rajkot 360005",Mixed Development,bombaysilverheight2@gmail.com,9924328286,PR/GJ/RAJKOT/RAJKOT/Others/MAA09913/A1M/160923,Rajkot,19-03-2022,31-12-2024,NA
9985,OM ELYSIUM,Ketan Harilal Mehta (Prop. of Omkareshwar Developers),"Survey No. 233/4, Deri Road Umbergaon Town Valsad 396170",Residential/Group Housing,omkareshwardevlrera23bc@gmail.com,9820785258,PR/GJ/VALSAD/UMBERGAON/Others/RAA10337/210622,Valsad,21-06-2022,31-12-2025,NA
9986,PAVITRA HEIGHTS,HANSRAJBHAI BHAVANBHAI KAMANI,"BRAHMANI KRUPA, STREET NO.4, NEAR SHUBHAM CARDS, RANCHHODNAGAR, RAJKOT-360003. Rajkot 360003",Mixed Development,pavitraheightsrera@gmail.com,9824012515,PR/GJ/RAJKOT/RAJKOT/Others/MAA10588/240822,Rajkot,24-08-2022,31-03-2025,NA
9987,ISCON PRIME,CENTRAL CORPORATION,"SHOP NO. 1, COSMIC COMPLEX, BH AXAR PLAZA, ZANZARDA ROAD JUNAGADH Junagadh 362001",Residential/Group Housing,rera69.isconprime@gmail.com,9265363304,PR/GJ/JUNAGADH/JUNAGADH/Others/RAA11504/210323,Junagadh,21-03-2023,31-12-2025,NA
9988,PAVITRAM,SHREE GANESH ENTERPRISE,"PAVITRAM, SUR NO 390 1P, OPPOSITE SARVODAY SCHOOL, 80 FT ROAD MAVDI RAJKOT, MAVDI PLOT, RAJKOT Rajkot 360004",Mixed Development,pavitramrera@gmail.com,9825800077,PR/GJ/RAJKOT/RAJKOT/Rajkot Municipal Corporation/MAA09349/A1M/281024/311226,Rajkot,20-11-2021,31-12-2026,NA
9989,PRAKRUTI HARMONY,SHIVAM INFRA,"302, Splendoor complex, near- manisha char rasta, O.P. road, vadodara- 390015 Vadodara 390015",Residential/Group Housing,prakrutiharmony@gmail.com,7567700600,PR/GJ/VADODARA/VADODARA/Others/RAA09644/311221,Vadodara,31-12-2021,31-12-2026,NA
9990,PAN EMPIRE,N M ENTERPRISE,OFFICE NO C - 801 IMPIRIAL HIEGHT TOWER C OPP. BIG BAZAR 150 FEET RING ROAD Rajkot 360005,Commercial,panempire21@gmail.com,9081499099,PR/GJ/RAJKOT/RAJKOT/Others/CAA09781/050222,Rajkot,05-02-2022,31-12-2024,NA
9981,Sarthak Appartment,seva enterprise,"D-904 , Srushti Appartment, Opp. Wockhart Hospital, Kalawad Road, Rajkot 360005",Residential/Group Housing,rera.sarthakappartment@gmail.com,9879878094,PR/GJ/RAJKOT/RAJKOT/Others/RAA10296/080622,Rajkot,08-06-2022,31-12-2028,NA
9982,AAMRAKUNJ ARASTU,AAMRAKUNJ & SONS,"402, 4TH FLOOR, AAMRAKUNJ AVIS NR. TAPOVAN CIRCLE, SABARMATI Ahmedabad 382424",Mixed Development,aamrakunjandsons@gmail.com,9898010956,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA09682/070122,Gandhinagar,07-01-2022,31-12-2024,NA
9983,DARSHANAM OCEAN,OCEAN SMART SPACE,"16, Grass Field Bunglows Off Gotri Sevasi Road, Alkapuri Vadodara 390021",Residential/Group Housing,oceansmartspace@gmail.com,9725013979,PR/GJ/VADODARA/VADODARA/Others/RAA09909/190322,Vadodara,19-03-2022,31-12-2027,NA
9984,Bombay Silver Height 2,VIVEK VINODBHAI UNADKAT,"Flat no 302, Panch Kutir Apartment, Jalaram Street No 2, Varad Medical street, University Road, Rajkot - 360005 Rajkot 360005",Mixed Development,bombaysilverheight2@gmail.com,9924328286,PR/GJ/RAJKOT/RAJKOT/Others/MAA09913/A1M/160923,Rajkot,19-03-2022,31-12-2024,NA
9985,OM ELYSIUM,Ketan Harilal Mehta (Prop. of Omkareshwar Developers),"Survey No. 233/4, Deri Road Umbergaon Town Valsad 396170",Residential/Group Housing,omkareshwardevlrera23bc@gmail.com,9820785258,PR/GJ/VALSAD/UMBERGAON/Others/RAA10337/210622,Valsad,21-06-2022,31-12-2025,NA
9986,PAVITRA HEIGHTS,HANSRAJBHAI BHAVANBHAI KAMANI,"BRAHMANI KRUPA, STREET NO.4, NEAR SHUBHAM CARDS, RANCHHODNAGAR, RAJKOT-360003. Rajkot 360003",Mixed Development,pavitraheightsrera@gmail.com,9824012515,PR/GJ/RAJKOT/RAJKOT/Others/MAA10588/240822,Rajkot,24-08-2022,31-03-2025,NA
9987,ISCON PRIME,CENTRAL CORPORATION,"SHOP NO. 1, COSMIC COMPLEX, BH AXAR PLAZA, ZANZARDA ROAD JUNAGADH Junagadh 362001",Residential/Group Housing,rera69.isconprime@gmail.com,9265363304,PR/GJ/JUNAGADH/JUNAGADH/Others/RAA11504/210323,Junagadh,21-03-2023,31-12-2025,NA
9988,PAVITRAM,SHREE GANESH ENTERPRISE,"PAVITRAM, SUR NO 390 1P, OPPOSITE SARVODAY SCHOOL, 80 FT ROAD MAVDI RAJKOT, MAVDI PLOT, RAJKOT Rajkot 360004",Mixed Development,pavitramrera@gmail.com,9825800077,PR/GJ/RAJKOT/RAJKOT/Rajkot Municipal Corporation/MAA09349/A1M/281024/311226,Rajkot,20-11-2021,31-12-2026,NA
9989,PRAKRUTI HARMONY,SHIVAM INFRA,"302, Splendoor complex, near- manisha char rasta, O.P. road, vadodara- 390015 Vadodara 390015",Residential/Group Housing,prakrutiharmony@gmail.com,7567700600,PR/GJ/VADODARA/VADODARA/Others/RAA09644/311221,Vadodara,31-12-2021,31-12-2026,NA
9990,PAN EMPIRE,N M ENTERPRISE,OFFICE NO C - 801 IMPIRIAL HIEGHT TOWER C OPP. BIG BAZAR 150 FEET RING ROAD Rajkot 360005,Commercial,panempire21@gmail.com,9081499099,PR/GJ/RAJKOT/RAJKOT/Others/CAA09781/050222,Rajkot,05-02-2022,31-12-2024,NA
9981,Sarthak Appartment,seva enterprise,"D-904 , Srushti Appartment, Opp. Wockhart Hospital, Kalawad Road, Rajkot 360005",Residential/Group Housing,rera.sarthakappartment@gmail.com,9879878094,PR/GJ/RAJKOT/RAJKOT/Others/RAA10296/080622,Rajkot,08-06-2022,31-12-2028,NA
9982,AAMRAKUNJ ARASTU,AAMRAKUNJ & SONS,"402, 4TH FLOOR, AAMRAKUNJ AVIS NR. TAPOVAN CIRCLE, SABARMATI Ahmedabad 382424",Mixed Development,aamrakunjandsons@gmail.com,9898010956,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA09682/070122,Gandhinagar,07-01-2022,31-12-2024,NA
9983,DARSHANAM OCEAN,OCEAN SMART SPACE,"16, Grass Field Bunglows Off Gotri Sevasi Road, Alkapuri Vadodara 390021",Residential/Group Housing,oceansmartspace@gmail.com,9725013979,PR/GJ/VADODARA/VADODARA/Others/RAA09909/190322,Vadodara,19-03-2022,31-12-2027,NA
9984,Bombay Silver Height 2,VIVEK VINODBHAI UNADKAT,"Flat no 302, Panch Kutir Apartment, Jalaram Street No 2, Varad Medical street, University Road, Rajkot - 360005 Rajkot 360005",Mixed Development,bombaysilverheight2@gmail.com,9924328286,PR/GJ/RAJKOT/RAJKOT/Others/MAA09913/A1M/160923,Rajkot,19-03-2022,31-12-2024,NA
9985,OM ELYSIUM,Ketan Harilal Mehta (Prop. of Omkareshwar Developers),"Survey No. 233/4, Deri Road Umbergaon Town Valsad 396170",Residential/Group Housing,omkareshwardevlrera23bc@gmail.com,9820785258,PR/GJ/VALSAD/UMBERGAON/Others/RAA10337/210622,Valsad,21-06-2022,31-12-2025,NA
9986,PAVITRA HEIGHTS,HANSRAJBHAI BHAVANBHAI KAMANI,"BRAHMANI KRUPA, STREET NO.4, NEAR SHUBHAM CARDS, RANCHHODNAGAR, RAJKOT-360003. Rajkot 360003",Mixed Development,pavitraheightsrera@gmail.com,9824012515,PR/GJ/RAJKOT/RAJKOT/Others/MAA10588/240822,Rajkot,24-08-2022,31-03-2025,NA
9987,ISCON PRIME,CENTRAL CORPORATION,"SHOP NO. 1, COSMIC COMPLEX, BH AXAR PLAZA, ZANZARDA ROAD JUNAGADH Junagadh 362001",Residential/Group Housing,rera69.isconprime@gmail.com,9265363304,PR/GJ/JUNAGADH/JUNAGADH/Others/RAA11504/210323,Junagadh,21-03-2023,31-12-2025,NA
