Name,Address,Email,Phone Number
ICE FEEL MOUNT LLP,"House No. 629, Fourth Floor, Poothkalan Extn, Gram Sabha Village, ,North Delhi,delhi,North Delhi,110086",alvistamaxvel@gmail.com,9810700823
DDA,"Office of the Executive Engineer, Dwarka Project Division-4, DDA, Central Nursery, Sector-5, Dwarka. ,Delhi,,,",exenrwd10@gmail.com,9971255858
YOGIRAJ PROMOTERS PRIVATE LIMITED,"3rd Floor, 306-308, Square One, C-2, District Centre, Saket New Delhi,NEW DELHI,delhi,NEW DELHI,110017",s.arora@migsun.in,8860003516
TARC PROJECTS LIMITED,"67, Najafgarh Road, Kirti Nagar, New Delhi - 110015,Delhi,delhi,Delhi,110015",rajendra.negi@tarc.in,9911824242
UNITY BUILDWELL LIMITED,"G3, AGGARWAL CORPORATE TOWER, PLOT NO.23, DISTRICT CENTRE RAJENDRA PLACE,NEW DELHI,delhi,CENTRAL,110008",ubl_rera@unitygroup.in,9968117566
LAXMI BUILDTECH PRIVATE LIMITED,"3 Munirka Marg Vasant Vihar New Delhi South Delhi - 110057,South Delhi,delhi,New Delhi,110057",buildtechlaxmi@gmail.com,9910277296
SAGAR ENTERPRISES PRIVATE LIMITED,"310, Prakashdeep Building, 7 Tolstoy Marg,New Delhi,delhi,New Delhi,110001",theconnaughtresidences@gmail.com,8506001055
M/S ANANT RAJ LIMITED,"CP-1, Sector-8, IMT Manesar,Manesar,haryana,Gurugram,122051",akhil.kumar@anantrajlimited.com,8527333662
GARUR ENTERPRISES LIMITED LIABILITY PARTNERSHIP,"A1/172, Second floor, Janak Puri, New Delhi,New Delhi,delhi,West Delhi,110058",garurllp@gmail.com,9873801070
ORCHID INDIA INFRAMART LLP,"KOTHI NO 3, ON FIRST FLOOR , SECTOR 11,DWARKA, NEW DELHI ,NEW DELHI,delhi,SOUTH WEST DELHI,110075",consulateapartments2022@gmail.com,9971193447
RSDR BUILDERS PRIVATE LIMITED,"65/2, Masjid Road, Bhogal, New Delhi, south Delhi, Delhi, India, 110014,South West,delhi,SOUTH DELHI,110014",shashank@bdrbuildtech.com,09810528638
RAHEJA DEVELOPERS LIMITED,"W4D, 204/5, Keshav Kunj, Cariappa Marg, Western Avenue, Sainik Farms,New Delhi,delhi,Delhi,110062",shreya.goel@raheja.com,9971091904
FOOTWEAR (KLICK) INDIA PVT. LTD.,"D-3, Udyog Nagar, New Delhi - 110041,New Delhi,delhi,Delhi,110041",ajay@lancerfootwear.in,9211888223
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
THE HOME LIVING COOPERTAIVE GROUP HOUSING SOCIETY LIMITED,"Plot No. 14, Sector-9, Dwarka, New Delhi,Delhi,delhi,Dwarka,110077",tothehomeliving@gmail.com,9990668913
DELHI DEVELOPMENT AUTHORITY,"DPD-1,DDA, Central nursery, sector-5 Dwarka, New Delhi-110075,Dwarka,,,",eeswd9dda@gmail.com,9818724896
DELHI DEVELOPMENT AUTHORITY,"EE/NMD-3/DDA Munim ji ka bagh narela Delhi 110040.,Narela,,,",eend4dda@gmail.com,8130407234
DELHI DEVELOPMENT AUTHORITY,"DDA office complex Ashok Vihar Phase 1 near Railway underpass,Ashok Vihar,,,",eend10ddaav@gmail.com,9811306426
DELHI DEVELOPMENT AUTHORITY,"Room No. 28, DPD-4, Central Nursery, Sector-5, Dwarka,New Delhi,,,",wd10rera@gmail.com,9711788770
DELHI DEVELOPMENT AUTHORITY,"EXECUTIVE ENGINEER, DPD-2, DDA, DWARKA PROJECT OFFICE, MANGLAPURI,DWARKA,,,",eewd6dda@gmail.com,9868211866
DELHI DEVELOPMENT AUTHORITY,"DDA Office Complex Near TV tower Pitampura,Delhi,,,",northerndivision9@gmail.com,9873587392
DELHI DEVELOPMENT AUTHORITY,"SED-8 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",spd4dda@gmail.com,9910221966
DELHI DEVELOPMENT AUTHORITY,"SD-2 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",spd3.dda@gmail.com,9868833147
DELHI DEVELOPMENT AUTHORITY,"SD-2 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",spd3.dda@gmail.com,9868833147
DLF URBAN PVT. LTD.,"15, Shivaji Marg,New Delhi,delhi,West District,110015",rera.pragati@dupl.in,8929053369
DLF HOME DEVELOPERS LIMITED,"1ST FLOOR, DLF GATEWAY TOWER, R BLOCK, DLF CITY, PHASE-III GURUGRAM,GURUGRAM,haryana,GURUGRAM,122002",rera.mtp@dlf.in,9899029686
RAVI SHANKAR CO-OPERATIVE GROUP HOUSING LTD.,"plot no 2, sector 13, Dwarka,Delhi,delhi,New Delhi,110078",cghsravishankar@gmail.com,9810126120
