Name                                     ,Link                                                                                                                                                                                                                                           ,Rating ,Number of Reviews ,Type                                                                                                                   ,Address                                                                                                                 ,Timings
Jehangir Art Gallery                     ,https://www.google.com/maps/place/Jehangir+Art+Gallery/data=!4m7!3m6!1s0x3be7d1c3ba603009:0x760bf8abce5639f6!8m2!3d18.9273983!4d72.8316856!16zL20vMDU0ODdu!19sChIJCTBgusPR5zsR9jlWzqv4C3Y?authuser=0&hl=en&rclk=1                              ,   4.5 ,"(10,018)"        ,"Art gallery ·  · 161B, Mahatma Gandhi Road
                                                                                                                                                                                                                                                                                                                     Modern museum for contemporary art
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery ·  · 161B, Mahatma Gandhi Road"                                                                           ,Modern museum for contemporary art
Chemould Prescott Road                   ,https://www.google.com/maps/place/Chemould+Prescott+Road/data=!4m7!3m6!1s0x3be7d1dc41f69963:0x12efcb75c9b4da75!8m2!3d18.9352784!4d72.8323925!16s%2Fm%2F011f3cyc!19sChIJY5n2QdzR5zsRddq0yXXL7xI?authuser=0&hl=en&rclk=1                         ,   4.5 ,(228)             ,"Art gallery · 3rd floor, Queens Mansion, Ghanshyam Talwatkar Marg
                                                                                                                                                                                                                                                                                                                     Established venue with imaginative works
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 6 pm"                                                                                                    ,"Art gallery · 3rd floor, Queens Mansion, Ghanshyam Talwatkar Marg"                                                     ,Established venue with imaginative works
JS Art Gallery                           ,https://www.google.com/maps/place/JS+Art+Gallery/data=!4m7!3m6!1s0x3be7b63affffffff:0x2639ac1d624d72de!8m2!3d19.1575067!4d72.8346857!16s%2Fg%2F11ggnbqjs5!19sChIJ_____zq25zsR3nJNYh2sOSY?authuser=0&hl=en&rclk=1                               ,   4.7 ,(121)             ,"Art gallery ·  · Shop no. 5 ground Floor, Harmony Mall, New Link Rd
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 7:30 pm"                                                                                                 ,"Art gallery ·  · Shop no. 5 ground Floor, Harmony Mall, New Link Rd"                                                  ,Open ⋅ Closes 7:30 pm
Rhythm Art Gallery                       ,https://www.google.com/maps/place/Rhythm+Art+Gallery/data=!4m7!3m6!1s0x3be7c92a025301ab:0xc1441b74f335b1c1!8m2!3d19.0697404!4d72.8335716!16s%2Fg%2F11rn3ypz24!19sChIJqwFTAirJ5zsRwbE183QbRME?authuser=0&hl=en&rclk=1                           ,   4.8 ,(205)             ,"Art gallery · Ram Janki, 3, 356, Linking Rd, behind Wonderchef
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 8 pm"                                                                                                    ,"Art gallery · Ram Janki, 3, 356, Linking Rd, behind Wonderchef"                                                        ,Open ⋅ Closes 8 pm
Nine Fish Art Gallery                    ,https://www.google.com/maps/place/Nine+Fish+Art+Gallery/data=!4m7!3m6!1s0x3be7ce5be77b93ff:0x11f913fefbf2e9ec!8m2!3d18.9818919!4d72.8365921!16s%2Fg%2F11c0rpdqm8!19sChIJ_5N751vO5zsR7Ony-_4T-RE?authuser=0&hl=en&rclk=1                        ,   4.6 ,(156)             ,"Art gallery ·  · The New Great Eastern Mills, 25-29, Dr Baba Saheb Ambedkar Rd, Near Rani Baug
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 7:30 pm"                                                                                                 ,"Art gallery ·  · The New Great Eastern Mills, 25-29, Dr Baba Saheb Ambedkar Rd, Near Rani Baug"                       ,Open ⋅ Closes 7:30 pm
JMD ART GALLERY                          ,https://www.google.com/maps/place/JMD+ART+GALLERY/data=!4m7!3m6!1s0x3be7c98f193c2ad1:0x363a0c11a05a0bb6!8m2!3d19.1085438!4d72.888106!16s%2Fg%2F11fr49l_kj!19sChIJ0So8GY_J5zsRtgtaoBEMOjY?authuser=0&hl=en&rclk=1                               ,   4.5 ,(31)              ,"Art gallery · J 109, Ansa Industrial Estate, Saki Vihar Road, Saki Naka, near Shiv Sagar Restaurant
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 7 pm"                                                                                                    ,"Art gallery · J 109, Ansa Industrial Estate, Saki Vihar Road, Saki Naka, near Shiv Sagar Restaurant"                   ,Open ⋅ Closes 7 pm
The Bombay Art Society                   ,https://www.google.com/maps/place/The+Bombay+Art+Society/data=!4m7!3m6!1s0x3be7c9394ebbf42b:0x476047fd77e4409e!8m2!3d19.0516084!4d72.8325142!16s%2Fg%2F11bw75yzyq!19sChIJK_S7TjnJ5zsRnkDkd_1HYEc?authuser=0&hl=en&rclk=1                       ,   4.3 ,(394)             ,"Art gallery ·  · KC Marg, opp. Rang Sharda
                                                                                                                                                                                                                                                                                                                     Art center with 2 galleries & auditorium
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery ·  · KC Marg, opp. Rang Sharda"                                                                           ,Art center with 2 galleries & auditorium
Gallery 7                                ,https://www.google.com/maps/place/Gallery+7/data=!4m7!3m6!1s0x3be7d193f3fa45d5:0x64a4e720d9c8eb44!8m2!3d18.9270637!4d72.833264!16s%2Fg%2F1tdvssqj!19sChIJ1UX685PR5zsRROvI2SDnpGQ?authuser=0&hl=en&rclk=1                                       ,   4.5 ,(89)              ,"Art gallery · 12/14,G3, Ground Floor, Oricon House,Rampart Row, Next to Kaya Skin Clinic,, K Dubash Marg, Kala Ghoda
                                                                                                                                                                                                                                                                                                                     Open 24 hours"                                                                                                         ,"Art gallery · 12/14,G3, Ground Floor, Oricon House,Rampart Row, Next to Kaya Skin Clinic,, K Dubash Marg, Kala Ghoda"  ,Open 24 hours
Project 88                               ,https://www.google.com/maps/place/Project+88/data=!4m7!3m6!1s0x3be7d195c3b2da71:0x134bebbf648da446!8m2!3d18.9144475!4d72.8262927!16s%2Fg%2F11b8t83kpt!19sChIJcdqyw5XR5zsRRqSNZL_rSxM?authuser=0&hl=en&rclk=1                                   ,   4.5 ,(167)             ,"Art gallery · WR7G+QGF, Ground Floor, B.M.P. Building, Narayan A Sawant Rd
                                                                                                                                                                                                                                                                                                                     Sizable gallery with experimental art
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery · WR7G+QGF, Ground Floor, B.M.P. Building, Narayan A Sawant Rd"                                            ,Sizable gallery with experimental art
Tao Art Gallery                          ,https://www.google.com/maps/place/Tao+Art+Gallery/data=!4m7!3m6!1s0x3be7ce878e64f075:0x489aedbbd840daf8!8m2!3d18.9876848!4d72.8140802!16s%2Fg%2F1vcjkqjr!19sChIJdfBkjofO5zsR-NpA2Lvtmkg?authuser=0&hl=en&rclk=1                                ,   4.3 ,(223)             ,"Art gallery ·  · 165, The View, Dr Annie Besant Rd
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery ·  · 165, The View, Dr Annie Besant Rd"                                                                   ,Opens soon ⋅ 11 am
