Cafe Name                                         ,Rating ,Number of Reviews ,Price Level ,Category                ,Address                                   ,Link
Bombay To Barcelona Library Cafe                  ,   4.6 ,"(2,517)"         ,            ,"4.6(2,517) · ₹200–600" ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Bombay+To+Barcelona+Library+Cafe/data=!4m7!3m6!1s0x3be7c81359615555:0x477fa11ce01f0713!8m2!3d19.1094204!4d72.8811811!16s%2Fg%2F11sb9j7n72!19sChIJVVVhWRPI5zsREwcf4Byhf0c?authuser=0&hl=en&rclk=1
Boojee Cafe                                       ,   4.7 ,"(6,228)"         ,            ,"4.7(6,228)"            ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Boojee+Cafe/data=!4m7!3m6!1s0x3be7c950382c58a5:0x31ebdefaca4c2e32!8m2!3d19.0605979!4d72.82439!16s%2Fg%2F11hzhfyyzf!19sChIJpVgsOFDJ5zsRMi5Myvre6zE?authuser=0&hl=en&rclk=1
JW Cafe                                           ,   4.6 ,"(2,836)"         ,            ,"4.6(2,836) · ₹2,000+"  ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/JW+Cafe/data=!4m7!3m6!1s0x3be7c86a36d42b69:0x8187ba91406fad6c!8m2!3d19.103168!4d72.877702!16s%2Fg%2F11f46nv100!19sChIJaSvUNmrI5zsRbK1vQJG6h4E?authuser=0&hl=en&rclk=1
"Le Cafe | Best European Cafe in Chembur, Mumbai" ,   4.4 ,"(3,086)"         ,            ,"4.4(3,086) · ₹₹₹"      ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,"https://www.google.com/maps/place/Le+Cafe+%7C+Best+European+Cafe+in+Chembur,+Mumbai/data=!4m7!3m6!1s0x3be7c77779897883:0x9abb47495273443!8m2!3d19.0615942!4d72.899741!16s%2Fg%2F11h40ygmdy!19sChIJg3iJeXfH5zsRQzQnlXS0qwk?authuser=0&hl=en&rclk=1"
Aromas Café & Bistro                              ,   4.3 ,"(9,165)"         ,            ,"4.3(9,165) · ₹₹₹"      ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Aromas+Caf%C3%A9+%26+Bistro/data=!4m7!3m6!1s0x3be7c7e607a36849:0x75bc319b8a39b154!8m2!3d19.1169277!4d72.9098968!16s%2Fg%2F1tzgh2t1!19sChIJSWijB-bH5zsRVLE5ipsxvHU?authuser=0&hl=en&rclk=1
Momo Cafe                                         ,   4.5 ,"(1,228)"         ,            ,"4.5(1,228) · ₹₹₹"      ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Momo+Cafe/data=!4m7!3m6!1s0x3be7c83a6dc9ceb9:0xe8279fdb3ae936a8!8m2!3d19.114328!4d72.8641211!16s%2Fg%2F11dxdlrfnf!19sChIJuc7JbTrI5zsRqDbpOtufJ-g?authuser=0&hl=en&rclk=1
The C Spot Cafe                                   ,   4.7 ,(314)             ,            ,4.7(314) · ₹200–400     ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/The+C+Spot+Cafe/data=!4m7!3m6!1s0x3be7b7daa0fcaca3:0x6ee4385037d56d96!8m2!3d19.1509744!4d72.8356675!16s%2Fg%2F11qs__kf1y!19sChIJo6z8oNq35zsRlm3VN1A45G4?authuser=0&hl=en&rclk=1
Leopold Cafe                                      ,   4.2 ,"(29,454)"        ,            ,"4.2(29,454) · ₹₹₹"     ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Leopold+Cafe/data=!4m7!3m6!1s0x3be7d1c0fb6b23a9:0x1ccd311198f0c5a2!8m2!3d18.9226402!4d72.8316401!16s%2Fm%2F04zww53!19sChIJqSNr-8DR5zsRosXwmBExzRw?authuser=0&hl=en&rclk=1
Bombay Coffee House                               ,   4.2 ,"(3,049)"         ,            ,"4.2(3,049) · ₹₹"       ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Bombay+Coffee+House/data=!4m7!3m6!1s0x3be7c916b18e64f7:0x411a7b22b06f266b!8m2!3d19.0632296!4d72.8347585!16s%2Fg%2F11cmq__vlf!19sChIJ92SOsRbJ5zsRayZvsCJ7GkE?authuser=0&hl=en&rclk=1
Kala Ghoda Cafe                                   ,   4.4 ,"(4,985)"         ,            ,"4.4(4,985) · ₹₹"       ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Kala+Ghoda+Cafe/data=!4m7!3m6!1s0x3be7d1c30a9927b9:0x93f817f1a8e74b23!8m2!3d18.9284954!4d72.8322067!16s%2Fg%2F1td7516y!19sChIJuSeZCsPR5zsRI0vnqPEX-JM?authuser=0&hl=en&rclk=1
Cafe Istaa                                        ,   4.5 ,"(4,282)"         ,            ,"4.5(4,282) · ₹₹"       ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Cafe+Istaa/data=!4m7!3m6!1s0x3be7c8d3690e6127:0xdae277b0048abce2!8m2!3d19.04191!4d72.8611228!16s%2Fg%2F11b8t77glf!19sChIJJ2EOadPI5zsR4ryKBLB34to?authuser=0&hl=en&rclk=1
Pali Village Café                                 ,   4.4 ,"(2,019)"         ,            ,"4.4(2,019) · ₹₹₹"      ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Pali+Village+Caf%C3%A9/data=!4m7!3m6!1s0x3be7c9149fb7f017:0xacaac82ab61a1561!8m2!3d19.062202!4d72.8293888!16s%2Fg%2F1tlvm_kd!19sChIJF_C3nxTJ5zsRYRUatirIqqw?authuser=0&hl=en&rclk=1
Lotus Cafe                                        ,   4.7 ,"(2,122)"         ,            ,"4.7(2,122)"            ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Lotus+Cafe/data=!4m7!3m6!1s0x3be7c936896f55bd:0xf340c3b4e1d806f1!8m2!3d19.102037!4d72.825914!16s%2Fg%2F11jqbl9yl9!19sChIJvVVviTbJ5zsR8QbY4bTDQPM?authuser=0&hl=en&rclk=1
August Cafe                                       ,   4.3 ,"(2,219)"         ,            ,"4.3(2,219) · ₹₹₹"      ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/August+Cafe/data=!4m7!3m6!1s0x3be7b6181c9ac959:0xbd0f2243403e1bdc!8m2!3d19.137403!4d72.8270394!16s%2Fg%2F11f3r7msf1!19sChIJWcmaHBi25zsR3Bs-QEMiD70?authuser=0&hl=en&rclk=1
Silver Beach Cafe                                 ,   4.3 ,"(1,974)"         ,            ,"4.3(1,974) · ₹₹₹"      ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Silver+Beach+Cafe/data=!4m7!3m6!1s0x3be7c9e8ad36e715:0x7d7e574f5521bf30!8m2!3d19.1141344!4d72.8243212!16s%2Fg%2F1262ppgfq!19sChIJFec2rejJ5zsRML8hVU9Xfn0?authuser=0&hl=en&rclk=1
Aromas Café & Bistro                              ,   4.1 ,"(3,492)"         ,            ,"4.1(3,492) · ₹₹"       ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Aromas+Caf%C3%A9+%26+Bistro/data=!4m7!3m6!1s0x3be7c9c4df278be9:0x4643250f0e0c98ab!8m2!3d19.114472!4d72.8367639!16s%2Fg%2F11cmpz5v4z!19sChIJ6Ysn38TJ5zsRq5gMDg8lQ0Y?authuser=0&hl=en&rclk=1
Café Arpan                                        ,   4.8 ,(465)             ,            ,4.8(465) · ₹200–400     ,"Cafe ·  · Timmy Arcade, 778, Makwana Rd
                                                                                                                    Open ⋅ Closes 11 pm"                      ,https://www.google.com/maps/place/Caf%C3%A9+Arpan/data=!4m7!3m6!1s0x3be7c95fafd8388f:0x7beb8b8f5f76d393!8m2!3d19.085492!4d72.8292942!16s%2Fg%2F11gjn9q_ct!19sChIJjzjYr1_J5zsRk9N2X4-L63s?authuser=0&hl=en&rclk=1
