ACK/KA/RERA/1251/310/PR/290724/008372,ACK/KA/RERA/1251/310/PR/290724/008372,PRM/KA/RERA/1251/310/PR/120824/006969,V2 VAJRA ELEGANCE,V2 Holdings Housing Development Private Limited;
ACK/KA/RERA/1251/472/PR/100724/008322,ACK/KA/RERA/1251/472/PR/100724/008322,PRM/KA/RERA/1251/472/PR/090824/006967,Down by the Water,TOTAL ENVIRONMENT BUILDING SYSTEMS PVT LTD;
ACK/KA/RERA/1251/472/PR/090724/008318,ACK/KA/RERA/1251/472/PR/090724/008318,PRM/KA/RERA/1251/472/PR/120824/006968,ARYAN 1 CELESTE,ARYAN LANDMARKS;
ACK/KA/RERA/1250/303/PR/020724/008303,ACK/KA/RERA/1250/303/PR/020724/008303,PRM/KA/RERA/1250/303/PR/160824/006974,MERUSRI SWAMY ORCHARDS,MERUSRI DEVELOPERS;
ACK/KA/RERA/1251/310/PR/010724/008297,ACK/KA/RERA/1251/310/PR/010724/008297,PRM/KA/RERA/1251/310/PR/060824/006962,RADIANCE PLATINUM,Radiance Realty Developers India Limited;
ACK/KA/RERA/1251/310/PR/290624/008293,ACK/KA/RERA/1251/310/PR/290624/008293,PRM/KA/RERA/1251/310/PR/300724/006953,PROMONT PHASE II,PROMONT HILLTOP PRIVATE LIMITED;
ACK/KA/RERA/1251/310/PR/290624/008292,ACK/KA/RERA/1251/310/PR/290624/008292,PRM/KA/RERA/1251/310/PR/240724/006948,SATTVA SPRINGS,Sattva Resi Private Limited;
ACK/KA/RERA/1251/308/PR/250624/008270,ACK/KA/RERA/1251/308/PR/250624/008270,PRM/KA/RERA/1251/308/PR/160824/006973,DS MAX SKY SANMAN,DS Max Properties Private Limited;
ACK/KA/RERA/1251/446/PR/210624/008262,ACK/KA/RERA/1251/446/PR/210624/008262,PRM/KA/RERA/1251/446/PR/050824/006961,True North by Livingwalls,M/S VDB Infra and Realty Private Limited ;
ACK/KA/RERA/1251/310/PR/200624/008260,ACK/KA/RERA/1251/310/PR/200624/008260,PRM/KA/RERA/1251/310/PR/180724/006944,Provident Equinox 3,Provident Housing Limited;
ACK/KA/RERA/1251/309/PR/190624/008254,ACK/KA/RERA/1251/309/PR/190624/008254,PRM/KA/RERA/1251/309/PR/240724/006950,Sattva Knowledge Point,Darshita Southern India Happy Homes Private Limited;
ACK/KA/RERA/1251/472/PR/180624/008250,ACK/KA/RERA/1251/472/PR/180624/008250,PRM/KA/RERA/1251/472/PR/240724/006946,Affinity Sarovar,AFFINITY PROJECTS LLP;
ACK/KA/RERA/1251/446/PR/180624/008247,ACK/KA/RERA/1251/446/PR/180624/008247,PRM/KA/RERA/1251/446/PR/150724/006941,ISLE OF TREES,Happiness Harmony Property Developers Private Limited;
ACK/KA/RERA/1251/472/PR/160624/008245,ACK/KA/RERA/1251/472/PR/160624/008245,PRM/KA/RERA/1251/472/PR/240724/006947,AFFINITY GARDENIA,AFFINITY PROPERTIES LLP;
ACK/KA/RERA/1251/446/PR/150624/008242,ACK/KA/RERA/1251/446/PR/150624/008242,PRM/KA/RERA/1251/446/PR/030824/006956,Sobha Infinia Phase 2A Block 5 Wing 5,SOBHA LIMITED;
ACK/KA/RERA/1251/446/PR/150624/008241,ACK/KA/RERA/1251/446/PR/150624/008241,PRM/KA/RERA/1251/446/PR/030824/006957,Sobha Infinia Phase 2B Block 4 W1 and Block 3 W2,SOBHA LIMITED;
ACK/KA/RERA/1251/446/PR/150624/008240,ACK/KA/RERA/1251/446/PR/150624/008240,PRM/KA/RERA/1251/446/PR/030824/006958,SOBHA Ayana at Dream Acres Wing 60 to 71,SOBHA LIMITED;
ACK/KA/RERA/1251/310/PR/140624/008234,ACK/KA/RERA/1251/310/PR/140624/008234,PRM/KA/RERA/1251/310/PR/020824/006955,Assetz Canvas  Cove 2.0 - Block A,APG HABITAT PRIVATE LIMITED;
ACK/KA/RERA/1251/308/PR/110624/008225,ACK/KA/RERA/1251/308/PR/110624/008225,PRM/KA/RERA/1251/308/PR/160724/006942,SERENE HEIGHTS 1,URBAN RAYS LLP;
