Project Name,Registration Number,Project Type,Contact Number,Contact Email,Estimated Cost of Construction (in lacs),Estimated Cost of Land (in lacs)
REGAL KALASH,P-BPL-17-019,Ongoing,9302358304,regal.kalash2010@gmail.com,465.00,1670.00
REGAL ZONE,P-BPL-17-020,Ongoing,9300951222,regal.zone2010@gmail.com,476.10,62.45
SURAJ CITY,P-BPL-17-024,Ongoing,9827064955,abhaysaxena910@gmail.com,334.66,307.46
SAGAR PEARL,P-BPL-17-025,Ongoing,9425040003,agrawalconstruction@rediffmail.com,2777.22,302.75
SOUMYA EVERGREEN PHASE-II,P-BPL-17-037,Ongoing,9981666323,sanjay.soumyahomes@gmail.com,59768490.00,5156928.00
GMV ANANTA PHASE I,P-BPL-17-038,Ongoing,9826045517,project@gmvindia.com,2586.72,
SAGAR LIFESTYLE TOWERS,P-BPL-17-043,Ongoing,7773004847,agrawalbuilders@thesagar.in,8125.00,700.63
PEBBLE BAY-PHASE-IV-PHASE-B,P-BPL-17-049,Ongoing,9826244806,ahplbpl@yahoo.com,355.20,116.34
FAITH IMPERIAL HEIGHT,P-BPL-17-051,Ongoing,9826723409,faithbuildbhopal@gmail.com,3500.00,130.00
PEBBLE BAY-PHASE-II-PHASE-A,P-BPL-17-055,Ongoing,9826244806,ahplbpl@yahoo.com,1332.00,368.00
GMV OLAAN C PHASE II,P-BPL-17-056,Ongoing,9826045517,project@gmvindia.com,1100.20,12.42
"RUCHI LIFESCAPES, BHOPAL",P-BPL-17-057,Ongoing,8827344463,rahul_singh@anikgroup.com,147.96,39.82
"CONSTRUCTION OF 384 EWS (STILT+3), 816 LIG (STILT+6), 18 SMALL SHOPS AND DEVELOPMENT WORK OF 6.67 HE",P-BPL-17-060,Ongoing,9406912010,eedn2hbbpl@mp.gov.in,11064.00,
GMV ANANTA 2,P-BPL-17-066,Ongoing,9826045517,project@gmvindia.com,0.01,
PARAS EMPEROR PHASE I,P-BPL-17-067,Ongoing,9826054143,info@paraslifestyles.com,0.07,0.01
LN TOWER,P-BPL-17-069,Ongoing,9826612260,tesla_rgupta@yahoo.co.in,250.00,400.00
"SHRI RADHA KRISHNA RESIDENCY, PHASE-II",P-BPL-17-070,Ongoing,9826343388,bhojpalbuilders@gmail.com,1043.96,428.46
KANHA TOWERS,P-BPL-17-075,Ongoing,9826056561,liliasonsinfrastructure@gmail.com,2925.00,31.74
DRISHTI CITY BLOCK -D,P-BPL-17-076,Ongoing,9303137170,drishtioffset@gmail.com,487.73,4.78
HILL-TECH DEVELOPERS,P-BPL-17-085,Ongoing,9893846892,abhay_saxena63@rediffmail.com,131.99,4.06
SHREE GOLDEN CITY PRIMA PHASE 3,P-BPL-17-088,Ongoing,9303130360,manish@shreebuilders.com,507.47,179.66
GOKULDHAM,P-BPL-17-092,Ongoing,9826380243,dwarkadham@yahoo.com,11265.00,881.85
THE ADDRESS PHASE 1,P-BPL-17-095,Ongoing,9329125872,sandeep@shreebuilder.com,711.27,198.43
SWAMI VIVEKANAND PARISAR KATARA HILLS (EXTENSION 5 ACRES),P-BPL-17-098,Ongoing,9406565263,info@bda.org.in,2654.25,400.00
VANSH TOWER 2,P-BPL-17-104,Ongoing,8959111142,ajaysingh2dec@gmail.com,184.25,41.36
RHYTHM PARK PHASE1,P-BPL-17-106,Ongoing,7354815577,krishnahomes98@gmail.com,1028.09,198.00
LILA ATULYAM PHASE 1,P-BPL-17-110,Ongoing,9755555256,jankari@liladevelopers.in,7100.00,
HIMANSHU SHEETAL TOWER,P-BPL-17-113,Ongoing,9826043891,HFMBHOPAL@YAHOO.COM,624.85,90.00
ULTIMATE SKY VILLAS PHASE-1,P-BPL-17-119,Ongoing,8770477154,pali@ultimateconstructions.com,276827317.00,60242445.00
SAHAJ SANGAM,P-BPL-17-129,Ongoing,9993303000,drbuilderbhopal@yahoo.com,5250.00,1525.00
ULTIMATE IMPERIAL VILLAS PHACE -2,P-BPL-17-133,Ongoing,9826056497,INFO@ULTIMATECONSTRUCTIONS.COM,173010638.00,136779282.00
WHISPERING PALMS EXTENSION,P-BPL-17-139,Ongoing,9827094884,sterling_builders@yahoo.in,243.93,335.74
GANESH GALAXY CITY,P-BPL-17-141,Ongoing,9630694981,ganeshgalaxycity@gmail.com,137355000.00,550000.00
SURENDRA MANIK PHACE -1.,P-BPL-17-145,Ongoing,9425012506,surendramanik2013@gmail.com,2502.98,3650.00
HIMANSHU GREENS PHASE 2,P-OTH-17-146,Ongoing,9826043891,HFMBHOPAL@YAHOO.COM,368.00,171.49
"CONSTRUCTION OF 12 EWS (P+3), 72 LIG (P+3) HOUSES, 5 SMALL SHOPS INCLUDING INTERNAL W/S, S/F, E/F AN",P-BRS-17-149,Ongoing,9425007813,eedn6hbbpl@mp.gov.in,706.13,
"KEELANDEV TOWERS (CONSTRUCTION OF 222 FLATS (BASEMENT+STILT+10 STORIES), I/C INTERNAL W/S, S/F, INTE",P-BPL-17-150,Ongoing,9425007813,eedn6hbbpl@mp.gov.in,6940.52,232.46
