SR No. ,Scheme Name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Scheme Address                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Scheme Type       ,Village   ,CTS No                       ,Developer                                                                                                                               ,Architect                                                                            ,No. of Slum Dwellers ,Land Type
     1 ,33 (11)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"CTS No. 128/A/47 (Pt), Plot No. 21, of village Kandivali, Taluka - Borivali, Mahavir nagar, Kandivali (W), Mumbai - 400 067"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,33(11)            ,Kandivali ,"128/A/47 (Pt), Plot No. 21" ,M/s. SANSKRUTI NIRMAN VRUSHI LLP                                                                                                        ,Santosh Zirmute                                                                      ,                  28 ,PRIVATE
     2 ,"SHREE SWAMI SAMARTH CHS (PROP) CTS NO. 838(PT)AT L.T. ROAD,KHUDIRAM BOSE CHOWK, MULUND (E). MUMBAI-400 081."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"SHREE SWAMI SAMARTH CHS (PROP) CTS NO. 838(PT)AT L.T. ROAD,KHUDIRAM BOSE CHOWK, MULUND (E). MUMBAI-400 081."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,33(10) New scheme ,          ,                             ,M/S. SHREEYA DEVELOPERS                                                                                                                 ,SAMER RAUT ASSOCIATES.                                                               ,                     ,PRIVATE
     3 ,"K-ESHAVPADA SLUM MULUND [W]C.T.S. NO.1115 [PT] AND 1480 [PT] OF VILLAGE MULUND AT P. K. ROAD, MULUND [W] Mulund (W)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"K-ESHAVPADA SLUM MULUND [W]C.T.S. NO.1115 [PT] AND 1480 [PT] OF VILLAGE MULUND AT P. K. ROAD, MULUND [W] Mulund (W)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,33(10) New scheme ,          ,                             ,ANNAPPI CONSTRUCTION CO.                                                                                                                ,M/s. Vijay Turbadkar                                                                 ,                     ,MHADA
     4 ,"GAUTAM NAGAR DUMPING ROAD755 [PT] OF VILLAGE MULUND [W] GAUTAM NAGAR, DUMPING ROAD, MULUND [W], MUMBAI - 400 080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"GAUTAM NAGAR DUMPING ROAD755 [PT] OF VILLAGE MULUND [W] GAUTAM NAGAR, DUMPING ROAD, MULUND [W], MUMBAI - 400 080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,33(10) New scheme ,          ,                             ,Forward Construction corp                                                                                                               ,M/s. P.S. Chamankar & Associates                                                     ,                     ,MHADA
     5 ,"DHANLAXMI S.R.A. C.H.S. (PROP) C.T.S. NO. 627, 628, 629 OF VILLAGE MULUND, BAL RAJESH-WAR ROAD, MULUND (W) FOR DHANLAXMI S.R.A. C.H.S. (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"DHANLAXMI S.R.A. C.H.S. (PROP) C.T.S. NO. 627, 628, 629 OF VILLAGE MULUND, BAL RAJESH-WAR ROAD, MULUND (W) FOR DHANLAXMI S.R.A. C.H.S. (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,33(10) New scheme ,          ,                             ,M/s. Guru Construction                                                                                                                  ,D.S. Desai & Associates                                                              ,                     ,PRIVATE
     6 ,"SALVI WADIC.T.S. No. 1099, 1101, 1101/1 TO 14, 1102(0) PT. AT VILLAGE MULUND(E) MIHTAGHAR ROAD, MULUND (E)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"SALVI WADIC.T.S. No. 1099, 1101, 1101/1 TO 14, 1102(0) PT. AT VILLAGE MULUND(E) MIHTAGHAR ROAD, MULUND (E)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,33(10) New scheme ,          ,                             ,M/S. SHREE SAINATH BUILDERS & DEVELOPERS.                                                                                               ,M.M. KAPHALE                                                                         ,                     ,PRIVATE
     7 ,"HANUMAN CHS (PROP) CTS NO.1(B). S. N. NO.377 OF VILLAGE MULUND, HANUMAN PADA, NEAR HANUMAN MANDIR, MULUND COLONY, MULUND (W), MUMBAI-400 082"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"HANUMAN CHS (PROP) CTS NO.1(B). S. N. NO.377 OF VILLAGE MULUND, HANUMAN PADA, NEAR HANUMAN MANDIR, MULUND COLONY, MULUND (W), MUMBAI-400 082"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,33(10) New scheme ,          ,                             ,HANUMAN CO OP HSG SOC (PROP).                                                                                                           ,M/s. Shah & Associates                                                               ,                     ,STGOVT
     8 ,Dr. Babasaheb Ambedkar Rahiwasi SanghaC.T.S. No. 1320 A/ 32 of Village Mulund New PMGP MHADA Colony Mulund €                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Dr. Babasaheb Ambedkar Rahiwasi SanghaC.T.S. No. 1320 A/ 32 of Village Mulund New PMGP MHADA Colony Mulund €                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,33(10) New scheme ,          ,                             ,M/s. Perfect Developers                                                                                                                 ,Vini Desai of M/s. Desai & Desai Assoicates                                          ,                     ,STGOVT
     9 ,Shree Morya Samarth CHS CTS. NO.1304B OF VILLAGE MULUND (E) SITUATED AT MITHAGAR ROAD MULUND(E)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Shree Morya Samarth CHS CTS. NO.1304B OF VILLAGE MULUND (E) SITUATED AT MITHAGAR ROAD MULUND(E)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,33(10) New scheme ,          ,                             ,SHREE RAM SAMARTH DEVELOPERS.                                                                                                           ,M/s. Manohar M. Kaphale Associates                                                   ,                     ,MCGM
    10 ,"MAHAKALI CHS CT.S. NO.555(PT) OF VILLAGE NAHUR, MULUND(W) MUMBAI-400080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"MAHAKALI CHS CT.S. NO.555(PT) OF VILLAGE NAHUR, MULUND(W) MUMBAI-400080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,33(10) New scheme ,          ,                             ,Shivam Developer                                                                                                                        ,STHAPATHYAKALA NITYANAND V. TOTAREPATIL                                              ,                     ,STGOVT
