SNo,Reg.Number,Name,Address,Mobile,Email,Website,Type
1,UPRERAPRM10016,JINDAL PROMOTERS PVT LTD,"H No 2930 Block C-1, Sushant Lok-1, Gurugram",9599188785,jindalupreraprj6497@gmail.com,https://www.up-rera.in/www.rajresidency.co,Company
2,UPRERAPRM100300,ABV BUILDTECH LLP,"20/168, ARJUN PURAM,BARAUT, BAGHPAT-250611",9917110605,ABVBUILDTECH@YAHOO.COM,http://abvbuild.com/index.html,Partnership Firm
3,UPRERAPRM100343,MARINE ADVENTA ENTERPRISES,"005 GRANDEUR APARTMENTS BUILDING NO 6 DALIBAGH LUCKNOW -226001, UTTAR PRADESH",9918651221,marineadventa@gmail.com,https://marineadventa.com/,Partnership Firm
4,UPRERAPRM100367,JANG BAHADUR SINGH,"14,MAAN SAROVAR GARDEN,,HARUNAGLA,,BAREILLY,UTTAR PRADESH,243001",9458851196,info@phoolnarayanpark.in,http://www.phoolnarayanpark.in/,Individual
5,UPRERAPRM100456,AMILTUS BUILDERS PRIVATE LIMITED,"TULSI NAGAR, PILIBHIT ROAD, BAREILLY, U.P.-243005",8954321999,SHANKY@AMILTUS.COM,http://www.amiltus.com/,Company
6,UPRERAPRM100513,METRO SUITES HOMES LLP,"PLOT NO 2, SECTOR- 2C, KHASRA No. 656, VASUNDHARA, GHAZIABAD, Ghaziabad, Uttar Pradesh, 201010",9718936170,GLITZMETROSUITES@GMAIL.COM,http://www.metrosuiteshomes.com/,Partnership Firm
7,UPRERAPRM100623,HALWASIYA AND SONS PVT LTD,1ST FLOOR HALWASIYA COURT HAZRATGANJ LUCKNOW 226001,9971320341,V.DUBEY@HALWASIYASONS.COM,http://www.halwasiyasons.com/,Company
8,UPRERAPRM10064,PARAS KUNJ,"3RD FLOOR, P SQUARE MALL 218E/71,M.G. MARG, CIVIL LINES, ALLAHABAD UTTAR PRADESH-211001",9554055555,paraskunj@hotmail.com,,Partnership Firm
9,UPRERAPRM10070,RAMPRASTHA BUILDERS PVT. LTD.,"B-23/25, KAILASH COLONY, NEW DELHI-110048",9810452301,yadav_kumarvinod@yahoo.co.in,,Company
10,UPRERAPRM10087,PRECIOUS BUILDTECH PVT. LTD.,"D-246/10, BALAJI CHEMBERS, LAXMI NAGAR,DELHI-110092",8477007195,precious.buildtech9571@gmail.com,,Company
11,UPRERAPRM10102,Lucknow Development Authority,"Lucknow Development Authority, Vipin Khand, Gomti Nagar, Lucknow",8922078766,vicechairmanlda@gmail.com,https://www.up-rera.in/ldalucknow.co.in,Competent authority
12,UPRERAPRM101077,MAK INFRAZONE PRIVATE LIMITED,"SOLITAIRE HEIGHTS, 1st FLOOR, 38/26 KHA, MEERABAI MARG, LUCKNOW, UTTAR PRADESH – 226001",7275076563,makinfrazone@gmail.com,https://makinfrazone.com/,Company
13,UPRERAPRM10116,ANDROMIDA REAL ESTATE CONSORTIUM PVT. LTD.,"A-90, NATHU COLONY SHAHDARA DELHI-110093",9911345145,sheshdharp@yahoo.co.in,,Company
14,UPRERAPRM10118,VINAYAKKRIPA REALTORS PRIVATE LIMITED,"265/316, OLD KATRA, ALLAHABAD - 211002",9839054198,sanjeev.vcc@gmail.com,https://www.up-rera.in/www.vinayakrealtors.com,Company
15,UPRERAPRM10132,CLOVER PROBUILD PRIVATE LIMITED,"FLAT NO. B-85, POCKET - B, LIG FLATS, NAND NAGRI, DELHI - 110093, DELHI East Delhi DL 110093 IN",7065055172,nishu.aaradhyam@gmail.com,http://www.aaradhyamgolfhomes.com/,Company
